Nom,Origines,Pitch,Rang 1,Rang 2,Rang 3,,,,,,,,,,,,,,,,,,,,,,,,
Contrecourant,,Parade supérieure,Une parade échouée peux mener à une contre attaque désavantagée,Une parade réussie avec un degré de réussite de 1 ou plus mène à une contre attaque avantagée,"Une parade échouée peux mener à une contre attaque quoi qu'il arrive, une parade réussie mène à une contre attaque avantagée quoi qu'il arrive",,,,,,,,,,,,,,,,,,,,,,,,
Riposte,,Riposte supérieure,Une blocage échouée peux mener à une riposte désavantagée,Une blocage réussie avec un degré de réussite de 1 ou plus mène à une riposte avantagée,"Une blocage échouée peux mener à une riposte quoi qu'il arrive, une riposte réussie mène à une contre attaque avantagée quoi qu'il arrive",,,,,,,,,,,,,,,,,,,,,,,,
Sillage,,Conditions de la Seconde Action allégées,Une seconde action peux être menée en ayant seulement plus de vitesse que la cible mais avec un désavantage,Une seconde action menée avec 5 de vitesse de plus que nécessaire se fait avec un avantage,"Une seconde action peux être menée en ayant seulement plus de vitesse que la cible, en remplissant les conditions normales d'une seconde action celle ci est avantagée",,,,,,,,,,,,,,,,,,,,,,,,
Meute,,Combat avec un allié => Bonus,Contre un adversaire qui a été touché récemment par un allié via une attaque ou une tactique de mêlée les actions reçoivent un bonus de 1 jusqu'au prochain cycle,Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Fracture,,Ignore déviation de l'arme adverse,Contre le personnage les armes utilisées pour générer de la déviation ont une catégorie effective réduite de 1,La réduction passe à 2,La réduction passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Brise-Magie,,Contre un lanceur de sort => Bonus,Contre un adversaire qui a lancé un sort récemment les actions d'attaque ou tactique reçoivent un bonus de 1 jusqu'au prochain cycle,Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Impassibilité,,Défenses progressives,"Chaque tours qui passe les défenses sont augmentés de 1, ce bonus est remis à 0 dés lors qu'une action ciblée (agression ou même controle) est menée, maximum 1",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Prédateur,,Adversaires sous rupture/DOT => Bonus,Contre un adversaire qui fait l'objet d'une condition de rupture ou de dégats continues les attaques reçoivent un bonus de 1,Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Miroir,,Connaissance/adaptation du style adverse,Lorsque vous êtes confronté à un adversaire (vous recevez une attaque de sa part ou vous réalisez une action le visant) vous apprenez automatiquement quel est le focus de son style le cas échéant,Vous apprenez aussi son corpus,"Vous pouvez désormais mémoriser ce style et l'utiliser vous même, un seul style peux être mémorisé de la sorte",,,,,,,,,,,,,,,,,,,,,,,,
Déconstruction,,Défauts adverses augmentées,Les défauts d'un style adverse sont augmentés de 1 face à vous,Le malus passe à 2,Le malus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Neutralisation,,Ignore les advantages du style adverse,"Le style dont profite vos adversaires contre vous est réduit de 1, le défaut est maintenu cependant",Le malus passe à 2,L'adversaire n'a plus d'avantages liés à son style contre vous,,,,,,,,,,,,,,,,,,,,,,,,
Cavalcade,,Charge => Bonus,Une charge menée sur au moins la moitié de sa distance et en ligne droite permet d'obtenir un bonus au test d'attaque ou de tactique qui suit de 1,Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Enracinement,,Position statique => Bonus (mêlée),"Chaque tours qui passe les actions de mêlée profitent d'un bonus de 1, ce bonus est remis à 0 dés lors qu'un déplacement est mené, maximum 1",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,Variante à distance (n'offre qu'un bonus de Maitrise cependant),,,,,,,,,,,,,,,,
Torrent,,Position mobile => Bonus (mêlée),"Chaque tours qui passe les actions de mêlée profitent d'un bonus de 1, ce bonus est remis à 0 si le personnage ne s'est pas déplacé d'au moins 5c le tour précédent, maximum 1",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,Variante à distance (n'offre qu'un bonus de Maitrise cependant),,,,,,,,,,,,,,,,
Épuisement,,Contre adversaire qui s'est défendu => Bonus (mêlée),Contre un adversaire qui a fait l'objet d'une défense réussie la prochaine attaques de mêlée reçoit un bonus de 1 jusqu'au prochain cycle,Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Miasme,,Zone de confusion,"Action Simple: Découpez une fleurs (stockée préalablement dans l'inventaire) : Faites un test de tactique + préparation + ruse : Pour un cycle entier tous les combattants dans une zone de 5 cases autour de la case où l'action a eu lieu ou attaqués depuis cette même zone reçoivent un bonus ou un malus (au choix) équivalant aux DR en défenses, le personnage est affecté par ces effets, ces effets peuvent être réduits par des effets qui réduisent les pénalités liés à la visibilité",Le bonus ou malus augmente de 1,L'action peux se faire en action libre,,,,,,,,,,,,,,,,,,,,,,,,
Symbiose,,Arme évoquée => Bonus progressif,"Chaque tours passait à combattre avec une même arme conjurée octroie un bonus de 1 aux actions réalisées avec celle ci, maximum 1",Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Pénétration,,Arme perforante => Visée accrue,En combattant avec une arme perforante le personnage profite d'un bonus de visée de 1,Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Domination,,Arme contondante => Maitrise accrue,En combattant avec une arme contondante le personnage profite d'un bonus de maitrise de 1,Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Ravage,,Arme tranchante => Gravité accrue,En combattant avec une arme tranchante le personnage profite d'un bonus de gravité (des blessures) de 2,Le bonus passe à 4,Le bonus passe à 6,,,,,,,,,,,,,,,,,,,,,,,,
Impitoyable,,Contre adversaire ayant raté une défense => Bonus (mêlée),Contre un adversaire qui a raté une défense la prochaine attaques de mêlée reçoit un bonus de 1,Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Résonance,,Cible touchée par matéria => Bonus,Contre un adversaire qui a été touché par une magie offensive issus d'une matéria la prochaine attaque reçoit un bonus de 1,Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
Maléfice,,Conditions boostées,Les conditions infligées profitent d'un jet assuré (minimum des dés 3),Les conditions infligées sont majorés (+1 par dés),Le personnage profite d'une expertise augmentée de 1 pour les conditions,,,,,,,,,,,,,,,,,,,,,,,,
Acuité,,Attaque => Catégorie naturelle +,Dans le cadre de ses actions d'attaques le personnage dispose d'une catégorie naturelle augmentée jusqu'à +1,Le bonus passe à 2,Le bonus passe à 3,,,,,,Same avec attaque ou défense du coup...,,,,,,,,,,,,,,,,,,
Carapace,,Défense => Catégorie naturelle +,Dans le cadre de ses actions de défenses le personnage dispose d'une catégorie naturelle augmentée jusqu'à +1,Le bonus passe à 2,Le bonus passe à 3,,,,,,Same avec attaque ou défense du coup...,,,,,,,,,,,,,,,,,,
Intuition,,Tactique => Catégorie naturelle +,Dans le cadre de ses actions tactiques le personnage dispose d'une catégorie naturelle augmentée jusqu'à +1,Le bonus passe à 2,Le bonus passe à 3,,,,,,Same avec attaque ou défense du coup...,,,,,,,,,,,,,,,,,,
Intimidation,,Zone de menace boostée,"La zone de menace du personnage augmente de moitié, minimum 2",Avoir une zone de menace > zone de contrôle +5 mène à un avantage à l'opportunité,Jusqu'à une opportunité par tour peux être effectuer gratuitement,,,,,,,,,,,,,,,,,,,,,,,,
Gardien,,Zone de contrôle boostée,"La zone de contrôle du personnage augmente de moitié, minimum 2",Peux se défendre des opportunités normalement,"Les alliés à proximtié profitent de ces mêmes bonus, à défaut (ou si il le souhaite) le personnage peux doubler ces derniers",,,,,,,,,,,,,,,,,,,,,,,,
Destrier,,Combat monté => Bonus (1f/round),"Une fois par round, lorsque le personnage est à dos de destrier il reçoit un bonus de 1 à ses tests d'attaque en combat",Le bonus passe à 2,A la place le personnage peux choisir d'être avantagé,,,,,,Same avec tactique ou défense du coup...,,,,,,,,,,,,,,,,,,
Pugiliste,,Endurance boostée,Lorsque le personnage perd de l'endurance il réduit cette perte de 2,"L'endurance peux servir à améliorer les sauvegardes de et en combat (même prorata que pour une amélioration de compétence sauf qu'ici ça se fait après le test), maximum +2",La perte d'endurance est réduite de 3 et le maximum qui peux être utilisé pour un bonus est de +3,,,,,,,,,,,,,,,,,,,,,,,,
Discernement,,Défenses réussies => Stack d'ajustement,"Lorsque le personnage réussie une défense contre un adversaire il gagne un stack, chaque stack lui offre un bonus d'ajustement à ses actions contre cette cible de 1, maximum 2, les stacks sont perdues si le personnage n'en gagne pas durant un tour complet contre ce même adversaire",Maximum 4,Maximum 6,,,,,,Same avec attaque ou tactique ? mais c'est peut être un peu trop fort,,,,,,,,,,,,,,,,,,
Exploitation,,Conditions adverses => Bonus,"Le personnage profite d'un bonus à ses actions équivalant aux nombres de conditions qui affectent son adversaire, maximum 1",Maximum 2,Maximum 3,,,,,,,,,,,,,,,,,,,,,,,,
Avant-Garde,,Défense => Génère de la garde (soi/allié proches),Une défense octroie 2 points de garde à soi et aux alliés à proximité,Le gain passe à 4,Le gain passe à 6,,,,Same avec attaque/rage et tactique/adrénaline,,,,,,,,,,,,,,,,,,,,
Cadence,,Combat hybride Distance/Mêlée => Bonus (sur un cycle),Contre un adversaire qui a été touché récemment via une attaque à distance les attaques de mêlée reçoivent un bonus de 1 jusqu'au prochain cycle,Le bonus passe à 2,Le bonus passe à 3,,,,,,,,,,,,,,,,,,,,,,,,
